Przychody (Prowizja + Interchange) dla automatow 1129-1134
Zrodlo: PL_TVM_2026-03.xlsx
Zakres miesiecy: 2025-01 do 2026-02

Automat 1129 | Lokalizacja: Września
2025-04: prowizja=11,83 | interchange=0,01 | suma=11,84
2025-05: prowizja=619,51 | interchange=25,80 | suma=645,31
2025-06: prowizja=667,06 | interchange=26,02 | suma=693,07
2025-07: prowizja=780,93 | interchange=38,36 | suma=819,29
2025-08: prowizja=747,60 | interchange=30,49 | suma=778,09
2025-09: prowizja=644,26 | interchange=26,58 | suma=670,84
2025-10: prowizja=578,17 | interchange=26,37 | suma=604,54
2025-11: prowizja=719,54 | interchange=32,99 | suma=752,53
2025-12: prowizja=634,17 | interchange=28,17 | suma=662,34
2026-01: prowizja=612,01 | interchange=28,38 | suma=640,39
2026-02: prowizja=629,95 | interchange=28,09 | suma=658,05
SUMA 2025-01..2026-02: prowizja=6645,02 | interchange=291,26 | suma=6936,28

Automat 1132 | Lokalizacja: Rawicz
2025-01: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-02: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-03: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-04: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-05: prowizja=38,92 | interchange=1,70 | suma=40,63
2025-06: prowizja=303,51 | interchange=17,66 | suma=321,17
2025-07: prowizja=407,53 | interchange=24,60 | suma=432,13
2025-08: prowizja=393,43 | interchange=31,32 | suma=424,75
2025-09: prowizja=335,01 | interchange=26,79 | suma=361,80
2025-10: prowizja=390,55 | interchange=25,86 | suma=416,41
2025-11: prowizja=380,39 | interchange=35,32 | suma=415,72
2025-12: prowizja=269,39 | interchange=20,19 | suma=289,58
2026-01: prowizja=303,78 | interchange=18,90 | suma=322,68
2026-02: prowizja=370,20 | interchange=23,52 | suma=393,71
SUMA 2025-01..2026-02: prowizja=3192,72 | interchange=225,87 | suma=3418,59

Automat 1133 | Lokalizacja: Palędzie
2025-01: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-02: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-03: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-04: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-05: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-06: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-07: prowizja=167,25 | interchange=10,66 | suma=177,91
2025-08: prowizja=270,64 | interchange=11,10 | suma=281,74
2025-09: prowizja=326,67 | interchange=16,63 | suma=343,31
2025-10: prowizja=330,87 | interchange=12,51 | suma=343,39
2025-11: prowizja=307,94 | interchange=13,35 | suma=321,29
2025-12: prowizja=378,14 | interchange=17,40 | suma=395,54
2026-01: prowizja=408,64 | interchange=18,99 | suma=427,64
2026-02: prowizja=476,65 | interchange=18,97 | suma=495,62
SUMA 2025-01..2026-02: prowizja=2666,81 | interchange=119,61 | suma=2786,42

Automat 1134 | Lokalizacja: Chodzież
2025-01: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-02: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-03: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-04: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-05: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-06: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-07: prowizja=344,07 | interchange=23,34 | suma=367,40
2025-08: prowizja=679,31 | interchange=51,16 | suma=730,47
2025-09: prowizja=601,77 | interchange=38,37 | suma=640,14
2025-10: prowizja=593,72 | interchange=31,91 | suma=625,63
2025-11: prowizja=389,77 | interchange=30,14 | suma=419,91
2025-12: prowizja=528,48 | interchange=40,96 | suma=569,43
2026-01: prowizja=575,78 | interchange=36,27 | suma=612,04
2026-02: prowizja=486,35 | interchange=32,02 | suma=518,36
SUMA 2025-01..2026-02: prowizja=4199,23 | interchange=284,16 | suma=4483,39
